Embedding,Classifier,Precision,Accuracy,F1 score,Recall
Content only,Nearest Neighbors,94.12%,88.60%,92.09%,90.14%
Content only,Linear SVM,75.47%,75.91%,85.89%,99.65%
Content only,RBF SVM,93.12%,88.08%,91.79%,90.49%
Content only,Decision Tree,95.33%,86.79%,90.57%,86.27%
Content only,Random Forest,95.42%,88.08%,91.58%,88.03%
Content only,Neural Net,89.04%,87.31%,91.62%,94.37%
Content only,AdaBoost,95.29%,86.27%,90.17%,85.56%
Content only,Naive Bayes,90.10%,87.31%,91.51%,92.96%
Content only,QDA,90.10%,87.31%,91.51%,92.96%
Tags only,Nearest Neighbors,94.48%,93.26%,95.47%,96.48%
Tags only,Linear SVM,74.93%,75.39%,85.67%,100.00%
Tags only,RBF SVM,93.71%,94.82%,96.59%,99.65%
Tags only,Decision Tree,94.18%,93.26%,95.49%,96.83%
Tags only,Random Forest,94.18%,93.26%,95.49%,96.83%
Tags only,Neural Net,89.87%,91.71%,94.67%,100.00%
Tags only,AdaBoost,94.12%,92.49%,94.94%,95.77%
Tags only,Naive Bayes,95.56%,95.60%,97.05%,98.59%
Tags only,QDA,95.56%,95.60%,97.05%,98.59%
Content and tags,Nearest Neighbors,90.24%,86.27%,90.72%,91.20%
Content and tags,Linear SVM,74.74%,75.13%,85.54%,100.00%
Content and tags,RBF SVM,93.57%,89.64%,92.91%,92.25%
Content and tags,Decision Tree,93.86%,89.38%,92.69%,91.55%
Content and tags,Random Forest,91.90%,88.08%,91.90%,91.90%
Content and tags,Neural Net,88.85%,87.82%,92.02%,95.42%
Content and tags,AdaBoost,93.57%,89.64%,92.91%,92.25%
Content and tags,Naive Bayes,89.90%,87.82%,91.91%,94.01%
Content and tags,QDA,89.90%,87.82%,91.91%,94.01%
Ensamble,Nearest Neighbors,96.48%,94.82%,96.48%,96.48%
Ensamble,Linear SVM,85.94%,86.01%,91.06%,96.83%
Ensamble,RBF SVM,94.58%,94.56%,96.37%,98.24%
Ensamble,Decision Tree,96.38%,92.75%,95.00%,93.66%
Ensamble,Random Forest,96.14%,94.56%,96.31%,96.48%
Ensamble,Neural Net,92.78%,90.93%,93.91%,95.07%
Ensamble,AdaBoost,95.04%,92.23%,94.70%,94.37%
Ensamble,Naive Bayes,96.38%,92.75%,95.00%,93.66%
Ensamble,QDA,96.01%,92.23%,94.64%,93.31%